Timestamp,MotionState
2025-06-08 22:31:54,NO MOTION
2025-06-08 22:31:55,NO MOTION
2025-06-08 22:31:55,NO MOTION
2025-06-08 22:31:56,MOTION DETECTED
2025-06-08 22:31:56,MOTION DETECTED
2025-06-08 22:31:57,MOTION DETECTED
2025-06-08 22:31:57,NO MOTION
2025-06-08 22:31:58,NO MOTION
2025-06-08 22:31:58,NO MOTION
2025-06-08 22:31:59,NO MOTION
2025-06-08 22:31:59,NO MOTION
2025-06-08 22:32:00,NO MOTION
2025-06-08 22:32:00,NO MOTION
2025-06-08 22:32:01,NO MOTION
2025-06-08 22:32:01,MOTION DETECTED
2025-06-08 22:32:02,MOTION DETECTED
2025-06-08 22:32:02,NO MOTION
2025-06-08 22:32:03,NO MOTION
2025-06-08 22:32:03,NO MOTION
2025-06-08 22:32:04,NO MOTION
2025-06-08 22:32:04,NO MOTION
2025-06-08 22:32:05,NO MOTION
2025-06-08 22:32:05,NO MOTION
2025-06-08 22:32:06,NO MOTION
2025-06-08 22:32:06,NO MOTION
2025-06-08 22:32:07,NO MOTION
2025-06-08 22:32:07,MOTION DETECTED
2025-06-08 22:32:08,MOTION DETECTED
2025-06-08 22:32:08,MOTION DETECTED
2025-06-08 22:32:09,NO MOTION
2025-06-08 22:32:09,NO MOTION
2025-06-08 22:32:10,NO MOTION
2025-06-08 22:32:10,NO MOTION
2025-06-08 22:32:11,NO MOTION
2025-06-08 22:32:11,NO MOTION
2025-06-08 22:32:12,NO MOTION
2025-06-08 22:32:12,NO MOTION
2025-06-08 22:32:13,NO MOTION
2025-06-08 22:32:13,NO MOTION
2025-06-08 22:32:14,MOTION DETECTED
2025-06-08 22:32:14,MOTION DETECTED
2025-06-08 22:32:15,NO MOTION
2025-06-08 22:32:15,NO MOTION
2025-06-08 22:32:16,NO MOTION
2025-06-08 22:32:16,NO MOTION
2025-06-08 22:32:17,NO MOTION
2025-06-08 22:32:17,NO MOTION
2025-06-08 22:32:18,NO MOTION
2025-06-08 22:32:18,NO MOTION
2025-06-08 22:32:19,MOTION DETECTED
2025-06-08 22:32:19,MOTION DETECTED
2025-06-08 22:32:20,NO MOTION
2025-06-08 22:32:20,NO MOTION
2025-06-08 22:32:21,NO MOTION
2025-06-08 22:32:21,NO MOTION
2025-06-08 22:32:22,NO MOTION
2025-06-08 22:32:22,NO MOTION
2025-06-08 22:32:23,NO MOTION
2025-06-08 22:32:23,MOTION DETECTED
2025-06-08 22:32:24,MOTION DETECTED
2025-06-08 22:32:24,NO MOTION
2025-06-08 22:32:25,NO MOTION
2025-06-08 22:32:25,NO MOTION
2025-06-08 22:32:26,NO MOTION
2025-06-08 22:32:26,NO MOTION
2025-06-08 22:32:27,NO MOTION
2025-06-08 22:32:27,NO MOTION
2025-06-08 22:32:28,NO MOTION
2025-06-08 22:32:28,NO MOTION
2025-06-08 22:32:29,NO MOTION
2025-06-08 22:32:29,MOTION DETECTED
2025-06-08 22:32:30,MOTION DETECTED
2025-06-08 22:32:30,MOTION DETECTED
2025-06-08 22:32:31,NO MOTION
2025-06-08 22:32:31,NO MOTION
2025-06-08 22:32:32,NO MOTION
2025-06-08 22:32:32,NO MOTION
2025-06-08 22:32:33,NO MOTION
2025-06-08 22:32:33,NO MOTION
2025-06-08 22:32:34,NO MOTION
2025-06-08 22:32:34,NO MOTION
2025-06-08 22:32:35,MOTION DETECTED
2025-06-08 22:32:35,MOTION DETECTED
2025-06-08 22:32:36,NO MOTION
2025-06-08 22:32:36,NO MOTION
2025-06-08 22:32:37,NO MOTION
2025-06-08 22:32:37,NO MOTION
2025-06-08 22:32:38,NO MOTION
2025-06-08 22:32:38,NO MOTION
2025-06-08 22:32:39,NO MOTION
2025-06-08 22:32:39,NO MOTION
2025-06-08 22:32:40,MOTION DETECTED
2025-06-08 22:32:40,MOTION DETECTED
2025-06-08 22:32:41,NO MOTION
2025-06-08 22:32:41,NO MOTION
2025-06-08 22:32:42,NO MOTION
2025-06-08 22:32:42,NO MOTION
2025-06-08 22:32:43,NO MOTION
2025-06-08 22:32:43,NO MOTION
2025-06-08 22:32:44,NO MOTION
2025-06-08 22:32:44,NO MOTION
